"X1"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"IHW_pvalue"	"t_ID"	"Human"	"type"	"symbol"
"1"	"CANX_crovir-transcript-13858"	7780.93837674844	3.78668301645171	0.0802878375670575	47.1638436306	0	0	0	"crovir-transcript-13858"	"XP_024301993"	"Nonvenom"	"XP_024301993"
"2"	"uknown_crovir-transcript-14370"	1386.74890222107	6.62786174409864	0.151571345218553	43.7276698609611	0	0	0	"crovir-transcript-14370"	"NP_001153242"	"Nonvenom"	"SLC39A11"
"3"	"LOC103056124_crovir-transcript-7458"	5507.44495294544	6.2488669869511	0.123789168393184	50.4799173309187	0	0	0	"crovir-transcript-7458"	"XP_024304530"	"Nonvenom"	"SLC39A13"
"4"	"LOC103050487_crovir-transcript-8573"	23395.0824247924	11.867726715459	0.268977313884207	44.1216641808237	0	0	0	"crovir-transcript-8573"	"XP_005249406"	"Nonvenom"	"CRISP2"
"5"	"ENPP3_crovir-transcript-9233"	27229.8807334887	9.71224820683627	0.251476622415761	38.620879004726	0	0	0	"crovir-transcript-9233"	"NP_005012"	"Nonvenom"	"ENPP3"
"6"	"MTHFD2_crovir-transcript-13008"	696.781280423688	3.24488346071323	0.0867629630519839	37.3994080719565	3.99489178658441e-306	4.78769622023111e-303	6.5667638609703e-303	"crovir-transcript-13008"	"NP_006627"	"Nonvenom"	"MTHFD2"
"7"	"LOC103061774_crovir-transcript-5721"	5386.13446853497	11.2102127153964	0.312782435461774	35.840288470311	2.60551756397831e-281	2.86237817049384e-278	4.25123196860962e-278	"crovir-transcript-5721"	"NP_001307147"	"Nonvenom"	"ATP6V1G3"
"8"	"UAP1_crovir-transcript-5635"	1805.83613909322	3.63748303819954	0.106262860161879	34.2309912669229	8.36631039481552e-257	8.484082302681e-254	1.42493858932156e-253	"crovir-transcript-5635"	"NP_001311045"	"Nonvenom"	"UAP1"
"9"	"LOC103053826_crovir-transcript-3893"	153082.70552466	12.8862600747805	0.37760401540494	34.1263851788264	2.99635637565748e-255	2.82149757859233e-252	4.23013360016509e-252	"crovir-transcript-3893"	"NP_001244946"	"Nonvenom"	"IL4I1"
"10"	"HSP90B1_crovir-transcript-12191"	37085.2288042071	3.8864940169062	0.114620750492491	33.9074207785858	5.17872228364669e-252	4.55140639102096e-249	7.6442853462196e-249	"crovir-transcript-12191"	"NP_003290"	"Nonvenom"	"HSP90B1"
"11"	"MAN1A2_crovir-transcript-15089"	8145.66109065001	4.9129645536405	0.157676367328867	31.1585346419954	3.88676566093368e-213	3.01407245341698e-210	5.0622660137653e-210	"crovir-transcript-15089"	"NP_006690"	"Nonvenom"	"MAN1A2"
"12"	"CPVL_crovir-transcript-2066"	5721.87534382419	4.30741389209415	0.138430513103651	31.1160725733128	1.46010375626159e-212	1.06936376771092e-209	1.70505915562067e-209	"crovir-transcript-2066"	"NP_001334981"	"Nonvenom"	"CPVL"
"13"	"LOC103050487_crovir-transcript-8572"	10539.8570157759	12.3638631901377	0.408060644641105	30.2990826302594	1.17869094311271e-201	7.76934135152743e-199	1.30489473232771e-198	"crovir-transcript-8572"	"NP_001177915"	"Nonvenom"	"CRISP3"
"14"	"KCNK1_crovir-transcript-9371"	1380.89008673195	3.59487489109509	0.119023180621228	30.2031492716968	2.15345785767935e-200	1.35185880656128e-197	2.1554865657809e-197	"crovir-transcript-9371"	"NP_002236"	"Nonvenom"	"KCNK1"
"15"	"ATP6V1B2_crovir-transcript-12806"	2908.21389110073	1.92384851822386	0.0642717639813	29.9330281145482	7.31780509440035e-197	4.38502838906726e-194	6.57425902719564e-194	"crovir-transcript-12806"	"NP_001684"	"Nonvenom"	"ATP6V1B2"
"16"	"NANS_crovir-transcript-15226"	1270.68736669182	3.70120265806631	0.124848948153291	29.645445258553	3.88248798275435e-193	2.22534082941959e-190	3.7375568848864e-190	"crovir-transcript-15226"	"NP_061819"	"Nonvenom"	"NANS"
"17"	"SLC11A2_crovir-transcript-14716"	927.3869832598	4.84577785969739	0.164027003375369	29.5425616513156	8.18331665179299e-192	4.49502764252446e-189	6.20715670125126e-189	"crovir-transcript-14716"	"XP_005268968"	"Nonvenom"	"SLC11A2"
"18"	"RFK_crovir-transcript-15449"	2333.79880171358	5.10758738321376	0.173353769187099	29.4633765805298	8.4857218707456e-191	4.47469085688157e-188	6.70868558869715e-188	"crovir-transcript-15449"	"NP_060809"	"Nonvenom"	"RFK"
"19"	"OGFOD3_crovir-transcript-14150"	2232.16434071202	4.04192886280445	0.138073997686988	29.2736426156606	2.24628792850094e-188	1.13895437543954e-185	1.70757870187702e-185	"crovir-transcript-14150"	"NP_787098"	"Nonvenom"	"OGFOD3"
"20"	"HSPA5_crovir-transcript-1435"	122330.057764379	5.50325236931465	0.193880468683544	28.384769268828	3.11776637696828e-177	1.46791121955617e-174	2.20076764163018e-174	"crovir-transcript-1435"	"NP_005338"	"Nonvenom"	"HSPA5"
"21"	"SCD_crovir-transcript-10217"	13719.9629755102	5.37264623895609	0.190051034577156	28.2694921967127	8.19939079762909e-176	3.7273299615567e-173	5.94308341919575e-173	"crovir-transcript-10217"	"NP_005054"	"Nonvenom"	"SCD"
"22"	"ATP13A1_crovir-transcript-14556"	1851.17668493477	3.03508742223559	0.108024375599446	28.0963199777214	1.08646596097772e-173	4.77429358785643e-171	7.15786533941319e-171	"crovir-transcript-14556"	"NP_065143"	"Nonvenom"	"ATP13A1"
"23"	"LOC103066777_crovir-transcript-8020"	403.792807266656	4.79474777207699	0.171765331654821	27.9145257420892	1.77794715551494e-171	7.56086366166241e-169	9.53594155846745e-169	"crovir-transcript-8020"	"NP_001073852"	"Nonvenom"	"GJC1"
"24"	"LOC103058925_crovir-transcript-14115"	1242.42679360775	2.27417427580464	0.0833659021407745	27.2794298076976	7.44130585379789e-164	2.97268894153387e-161	5.22710711367969e-161	"crovir-transcript-14115"	"NP_057162"	"Nonvenom"	"TVP23B"
"25"	"ATP6V1C2_crovir-transcript-8709"	5305.20386523296	6.53726443705837	0.240751738890956	27.153550238818	2.29903373861077e-162	8.91416522826642e-160	1.32394051151306e-159	"crovir-transcript-8709"	"XP_011508641"	"Nonvenom"	"ATP6V1C2"
"26"	"CALR_crovir-transcript-14987"	77396.9098008876	4.84452773374758	0.179423401294475	27.0005344832172	1.45669279844014e-160	5.48673747481038e-158	8.74839063038222e-158	"crovir-transcript-14987"	"NP_004334"	"Nonvenom"	"CALR"
"27"	"DNAJA1_crovir-transcript-15194"	2223.89379830383	2.48885020870884	0.0934980403705254	26.6192767125998	4.06126639525392e-156	1.4872131913509e-153	2.49783935527629e-153	"crovir-transcript-15194"	"NP_001530"	"Nonvenom"	"DNAJA1"
