"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IHW_pvalue"
"ALPI_crovir-transcript-11669",432.901964617584,1.38204717217881,0.114924505351183,12.0256960685243,2.60384422137509e-33,3.43447052799374e-29,2.6997148921343e-28
"Venom_crovir-transcript-SVMP_5",24685.3878927587,-1.01783265360098,0.0911536342388096,-11.1661225808551,5.97318079868114e-29,3.93931273673021e-25,3.77200263685662e-25
"Venom_crovir-transcript-SVMP_9",31030.5680783341,-0.907599253266501,0.0930171768288449,-9.75732960522461,1.71614471336327e-22,7.54531625642052e-19,7.31832984947402e-19
"Venom_crovir-transcript-SVMP_8",45608.5349876979,-1.26112972807562,0.141851689774288,-8.89048082601139,6.08450344941363e-19,2.00636501244414e-15,3.72968235569027e-15
"LOC103063119_crovir-transcript-1292",158.820024012045,-1.02918089303386,0.130543843547455,-7.88379493866928,3.17585305585389e-15,8.37790036134256e-12,6.78344024615246e-12
"ELN_crovir-transcript-9901",170.572115310325,2.66951674249844,0.361848950134978,7.37743398592878,1.61369336406455e-13,3.5474359120019e-10,2.38778703446951e-10
"FDPS_crovir-transcript-12523",847.79686726841,-1.16156352532144,0.159785886955151,-7.26950012579942,3.60820188043077e-13,5.94902285036023e-10,7.4952757505373e-10
"PLA2G3_crovir-transcript-16341",618.800338911376,0.785855395852014,0.107688941441165,7.29745678001077,2.93257884261922e-13,5.52581641916394e-10,8.98806916367315e-10
"FOCAD_crovir-transcript-15363",1714.08552698724,-0.733464697666311,0.104151009642094,-7.04231961059999,1.89065525745529e-12,2.77086031620392e-09,2.87383874973716e-09
"Venom_crovir-transcript-SVMP_4",95.328892108142,-1.42418676487343,0.203475648610878,-6.99929831700407,2.57247597722564e-12,3.39309581396062e-09,2.87383874973716e-09
"LOC103048486_crovir-transcript-3633",563.544400542953,-1.28738707987841,0.19298276990356,-6.67099493142189,2.54074997956757e-11,2.79270768587468e-08,3.13423872760313e-08
"LOC103063522_crovir-transcript-3640",394.037617234162,15.7560476225997,2.26769550381629,6.94804377222776,3.70386095590318e-12,4.44126600076027e-09,3.2001941907537e-08
