"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IHW_pvalue"
"ALPI_crovir-transcript-11669",432.901964617584,-3.26992741776413,0.110707706179683,-29.536583591181,9.76582242009758e-192,1.28811197721087e-187,1.43609851921072e-187
"LOC103056707_crovir-transcript-11710",1030.67751038933,4.6240895059304,0.174627440748558,26.4797415922079,1.65889957592958e-154,1.09404427032556e-150,1.00020528855274e-150
"Venom_crovir-transcript-SVMP_5",24685.3878927587,-2.06284050962371,0.0909061751816965,-22.6919734055542,5.37703320757454e-114,2.36410226693027e-110,2.18392346225126e-110
"PLEKHS1_crovir-transcript-10491",892.031516061099,-2.95802835442381,0.132705434056787,-22.290182579547,4.60112197165097e-110,1.51721997015191e-106,1.37157387967914e-106
"SLC11A2_crovir-transcript-14716",927.3869832598,-2.50493325097345,0.131745517769145,-19.0134229489522,1.32048285410593e-80,3.48343376913144e-77,3.18465072457415e-77
"LOC103065456_crovir-transcript-8787",787.171876639812,2.32263463450726,0.134496987381274,17.2690457959704,8.04617895007856e-67,1.76881833919227e-63,1.59901997051268e-63
"PLA2G3_crovir-transcript-16341",618.800338911376,-1.81238266493176,0.106080094232996,-17.0850401108338,1.91811258519206e-65,3.61427214266904e-62,3.26731875565841e-62
"FOCAD_crovir-transcript-15363",1714.08552698724,1.79195753783283,0.105100674249712,17.0499147662485,3.50043356093905e-65,5.77133983359826e-62,5.36830489979985e-62
"LOC103049655_crovir-transcript-1254",388.501672317495,2.42907988966924,0.148337133702135,16.3753999355744,2.86617227431687e-60,4.20053469980439e-57,4.39404354497815e-57
"ESF1_crovir-transcript-8690",1614.17621130388,1.73658781507617,0.108069032752065,16.0692454707195,4.19157247319757e-58,5.5286840921476e-55,5.38872136784023e-55
"HDAC3_crovir-transcript-5542",3118.33653342681,2.71957488277805,0.173468062828025,15.6776690673846,2.15000414722067e-55,2.57805042744006e-52,2.35692443315287e-52
"Venom_crovir-transcript-SVMP_1",23062.0814372829,3.65625662996873,0.235135065892133,15.5496017410097,1.60098263357367e-54,1.75974674473639e-51,1.71519745518046e-51
"Venom_crovir-transcript-SVSP_2",2770.4188243954,1.650001747016,0.11472832619842,14.3818166070196,6.73044485603903e-47,6.82881289624268e-44,6.35193053739482e-44
"KITLG_crovir-transcript-11941",263.65381605732,6.53699784389797,0.470327205585533,13.8988299342789,6.43852878295046e-44,6.06601390336547e-41,6.76291637548273e-41
"Venom_crovir-transcript-PLA2_K",1153.55332115147,2.36245686164148,0.17450444386112,13.5380899727783,9.31803401739527e-42,8.19365791262958e-39,7.62146315896791e-39
"Venom_crovir-transcript-PLA2_B1",165291.682525026,1.88639654209183,0.141013974789451,13.3773730221308,8.19944315699275e-41,6.7594159525459e-38,6.24425063855152e-38
"DDIT4_crovir-transcript-13279",818.119072092899,-2.90038687776562,0.221396555243602,-13.1004155623575,3.27459798176944e-39,2.5407027870317e-36,2.36327570612901e-36
"GDF5_crovir-transcript-6421",1435.5294954976,1.00252409316969,0.0790808189066568,12.6772093034725,7.90981987901703e-37,5.79614023356859e-34,5.33371253299826e-34
"FAM50A_crovir-transcript-14841",1193.50973621758,1.56371004962826,0.125742467361945,12.4358149035455,1.67028662383736e-35,1.15953055623235e-32,1.06007464783577e-32
"SUCO_crovir-transcript-5568",1444.94780914184,1.17435753634919,0.0965477116244323,12.1634942619604,4.86330306050721e-34,3.20734836840451e-31,2.98336685378238e-31
"LOC103067282_crovir-transcript-5178",491.129679832871,-4.29867540923355,0.359600400204922,-11.9540339965804,6.18485754782967e-33,3.88467957408921e-30,3.51176832599321e-30
"Venom_crovir-transcript-SVSP_1",27719.7170442999,0.739801183967387,0.0626497451581921,11.8085266284703,3.5268741133286e-32,2.11452134340019e-29,1.93315342696066e-29
"LOC103049250_crovir-transcript-15138",1739.1460673078,1.16445023248206,0.0990913340656966,11.7512822232269,6.95553291231567e-32,3.98884691797581e-29,3.71029034361515e-29
"LYSMD2_crovir-transcript-15311",498.019696463032,1.63999768826597,0.141843644673231,11.56201035333,6.41882139336974e-31,3.52767725743946e-28,3.15339328905126e-28
"GEMIN7_crovir-transcript-683",401.817577680981,1.80166107813292,0.156906146337382,11.4824123859302,1.61704744220957e-30,8.53154230509768e-28,9.51170044817361e-28
"NFKBIE_crovir-transcript-9539",441.687596506593,-3.55802730858388,0.311825430628436,-11.4103179506983,3.71369358981787e-30,1.88398532498837e-27,2.10042960806009e-27
"Venom_crovir-transcript-SVMP_3",866.165227411095,2.93123592986426,0.259593131794456,11.2916544039585,1.44294757391906e-29,7.04906611110828e-27,6.50368837122354e-27
"C1QL3_crovir-transcript-1904",56.2142682456605,4.65817558782248,0.419754554386063,11.097379502256,1.29175902853884e-28,6.08510770943831e-26,5.29695857090963e-26
