"","venom.1DPEAvgCounts[, -c(1, 2, 3, 4)]"
"13215",55935.16761
"1466",446.98242045
"16154",23221.9743175
"3893",228585.197725
"564",91805.2475
"8572",19880.29789
"8573",45082.58392
"9439",15915.8119625
"9447",27691.32576
"PLA2_A1",1741056.9125
"PLA2_B1",375754.24165
"PLA2_C1",236.45850365
"PLA2_gIIE",9999.95642625
"PLA2_K",2816.66468275
"SVMP_1",70250.9839425
"SVMP_10",217667.83205
"SVMP_11",69.7104826675
"SVMP_2",5214.09153775
"SVMP_3",2550.6981555
"SVMP_4",263.040194775
"SVMP_5",19583.7780475
"SVMP_6",272038.1099
"SVMP_7",196057.563125
"SVMP_8",106586.0837725
"SVMP_9",60816.0476725
"SVSP_1",49294.3715875
"SVSP_10",219691.1769
"SVSP_11",467133.14415
"SVSP_2",5453.7609105
"SVSP_3",17889.996085
"SVSP_4",60379.0667375
"SVSP_5",507713.78405
"SVSP_6",13065.8110075
"SVSP_7",831081.6181
"SVSP_8",49797.04817
"SVSP_9",155666.415075
