"X1","baseMean_Unext.vs.NonVen","log2FoldChange_Unext.vs.NonVen","lfcSE_Unext.vs.NonVen","stat_Unext.vs.NonVen","pvalue_Unext.vs.NonVen","padj_Unext.vs.NonVen","IHW_pvalue_Unext.vs.NonVen","t_ID_Unext.vs.NonVen","Human_Unext.vs.NonVen","type_Unext.vs.NonVen","baseMean_Unext.vs.1DPE","log2FoldChange_Unext.vs.1DPE","lfcSE_Unext.vs.1DPE","stat_Unext.vs.1DPE","pvalue_Unext.vs.1DPE","padj_Unext.vs.1DPE","IHW_pvalue_Unext.vs.1DPE","t_ID_Unext.vs.1DPE","Human_Unext.vs.1DPE","type_Unext.vs.1DPE"
"LOC103050487_crovir-transcript-8573",23395.0824247924,11.867726715459,0.268977313884207,44.1216641808237,0,0,0,"crovir-transcript-8573","XP_005249406.1","Nonvenom",23395.0824247924,0.762427399108101,0.121420369128879,6.27923802717846,3.40236362491297e-10,2.05858606479826e-08,1.88569794642811e-08,"crovir-transcript-8573","XP_005249406.1","Nonvenom"
"MTHFD2_crovir-transcript-13008",696.781280423688,3.24488346071323,0.0867629630519839,37.3994080719565,3.99489178658441e-306,4.78769622023111e-303,6.5667638609703e-303,"crovir-transcript-13008","NP_006627.2","Nonvenom",696.781280423688,-0.414485573116583,0.0797178237770461,-5.19940903399234,1.99923138822719e-07,6.38495448201373e-06,5.87178514315375e-06,"crovir-transcript-13008","NP_006627.2","Nonvenom"
"UAP1_crovir-transcript-5635",1805.83613909322,3.63748303819954,0.106262860161879,34.2309912669229,8.36631039481552e-257,8.484082302681e-254,1.42493858932156e-253,"crovir-transcript-5635","NP_001311045.1","Nonvenom",1805.83613909322,0.86231691547275,0.111746439100726,7.71672835763005,1.19353644662237e-14,1.55868769613357e-12,1.46433690408881e-12,"crovir-transcript-5635","NP_001311045.1","Nonvenom"
"HSP90B1_crovir-transcript-12191",37085.2288042071,3.8864940169062,0.114620750492491,33.9074207785858,5.17872228364669e-252,4.55140639102096e-249,7.6442853462196e-249,"crovir-transcript-12191","NP_003290.1","Nonvenom",37085.2288042071,0.78625515729429,0.124488571023113,6.31588225997317,2.68624512426679e-10,1.6792214781554e-08,1.54137017427069e-08,"crovir-transcript-12191","NP_003290.1","Nonvenom"
"MAN1A2_crovir-transcript-15089",8145.66109065001,4.9129645536405,0.157676367328867,31.1585346419954,3.88676566093368e-213,3.01407245341698e-210,5.0622660137653e-210,"crovir-transcript-15089","NP_006690.1","Nonvenom",8145.66109065001,1.27186370934102,0.14506599909688,8.76748319564272,1.82704290562039e-18,3.82518982938619e-16,3.53365500842261e-16,"crovir-transcript-15089","NP_006690.1","Nonvenom"
"LOC103050487_crovir-transcript-8572",10539.8570157759,12.3638631901377,0.408060644641105,30.2990826302594,1.17869094311271e-201,7.76934135152743e-199,1.30489473232771e-198,"crovir-transcript-8572","NP_001177915.1","Nonvenom",10539.8570157759,0.771543918063706,0.147470139115103,5.23186539792645,1.67807929177739e-07,5.50593678073228e-06,5.31367750840803e-06,"crovir-transcript-8572","NP_001177915.1","Nonvenom"
"ATP6V1B2_crovir-transcript-12806",2908.21389110073,1.92384851822386,0.0642717639813,29.9330281145482,7.31780509440035e-197,4.38502838906726e-194,6.57425902719564e-194,"crovir-transcript-12806","NP_001684.2","Nonvenom",2908.21389110073,0.385160211737376,0.0692386294955582,5.56279369686376,2.65489685503422e-08,1.06762468042382e-06,9.87049732795228e-07,"crovir-transcript-12806","NP_001684.2","Nonvenom"
"NANS_crovir-transcript-15226",1270.68736669182,3.70120265806631,0.124848948153291,29.645445258553,3.88248798275435e-193,2.22534082941959e-190,3.7375568848864e-190,"crovir-transcript-15226","NP_061819.2","Nonvenom",1270.68736669182,0.399548606087033,0.126273537603284,3.16415152113899,0.00155535798156886,0.0128864144327219,0.0119257297529993,"crovir-transcript-15226","NP_061819.2","Nonvenom"
"SLC11A2_crovir-transcript-14716",927.3869832598,4.84577785969739,0.164027003375369,29.5425616513156,8.18331665179299e-192,4.49502764252446e-189,6.20715670125126e-189,"crovir-transcript-14716","XP_005268968.1","Nonvenom",927.3869832598,-2.50493325097345,0.131745517769145,-19.0134229489522,1.32048285410593e-80,3.48343376913144e-77,3.18465072457415e-77,"crovir-transcript-14716","XP_005268968.1","Nonvenom"
"HSPA5_crovir-transcript-1435",122330.057764379,5.50325236931465,0.193880468683544,28.384769268828,3.11776637696828e-177,1.46791121955617e-174,2.20076764163018e-174,"crovir-transcript-1435","NP_005338.1","Nonvenom",122330.057764379,1.14521310504179,0.203356335311261,5.63155853142664,1.78588345082891e-08,7.52581556435568e-07,6.88142015863383e-07,"crovir-transcript-1435","NP_005338.1","Nonvenom"
"CALR_crovir-transcript-14987",77396.9098008876,4.84452773374758,0.179423401294475,27.0005344832172,1.45669279844014e-160,5.48673747481038e-158,8.74839063038222e-158,"crovir-transcript-14987","NP_004334.1","Nonvenom",77396.9098008876,0.964213815790019,0.199173979799035,4.84106315876655,1.29146314334931e-06,3.21403752090139e-05,2.9801065269906e-05,"crovir-transcript-14987","NP_004334.1","Nonvenom"
"DNAJA1_crovir-transcript-15194",2223.89379830383,2.48885020870884,0.0934980403705254,26.6192767125998,4.06126639525392e-156,1.4872131913509e-153,2.49783935527629e-153,"crovir-transcript-15194","NP_001530.1","Nonvenom",2223.89379830383,0.964368281388134,0.102119618654428,9.4435162811521,3.60474946055345e-21,1.10573593917907e-18,1.00514271912849e-18,"crovir-transcript-15194","NP_001530.1","Nonvenom"
"WNT5B_crovir-transcript-12279",368.116193504104,5.37008206450087,0.202245236111439,26.5523290820156,2.41398126354249e-155,8.60094999926504e-153,1.08295203816736e-152,"crovir-transcript-12279","XP_024304971.1","Nonvenom",368.116193504104,-1.38141829241727,0.186250849531055,-7.41697713538176,1.1982362251613e-13,1.36247722498945e-11,1.20750982376401e-11,"crovir-transcript-12279","XP_024304971.1","Nonvenom"
"IFRD2_crovir-transcript-13676",1915.2540706221,2.86322893882795,0.108132372892578,26.4789245092435,1.69523446451442e-154,5.73032716556247e-152,9.62433415464077e-152,"crovir-transcript-13676","NP_006755.4","Nonvenom",1915.2540706221,0.556565093348747,0.100136029736672,5.55809027791841,2.72742314385606e-08,1.09014276568065e-06,1.00187001027423e-06,"crovir-transcript-13676","NP_006755.4","Nonvenom"
"ATF5_crovir-transcript-2779",1506.23899884915,2.2944078913519,0.0868002669326423,26.4331893487421,5.6945916188955e-154,1.83101954419267e-151,2.99247706956142e-151,"crovir-transcript-2779","NP_001180575.1","Nonvenom",1506.23899884915,-0.43872315800204,0.092937556828972,-4.72062288886503,2.35123503870791e-06,5.39352872357519e-05,4.99799080902021e-05,"crovir-transcript-2779","NP_001180575.1","Nonvenom"
"MAN1A2_crovir-transcript-15090",2183.39060538023,5.60540280140223,0.212042954539006,26.43522305935,5.39612252047402e-154,1.77842707968523e-151,3.05087299984604e-151,"crovir-transcript-15090","NP_006690.1","Nonvenom",2183.39060538023,0.85855589512346,0.164141332468268,5.23058928676258,1.68970540413761e-07,5.51663719816215e-06,5.08910560676984e-06,"crovir-transcript-15090","NP_006690.1","Nonvenom"
"HSPA13_crovir-transcript-3743",6126.02677365925,4.81530407703053,0.191688470467796,25.1204679409214,2.97225331532312e-139,7.99657458283769e-137,1.34305954362001e-136,"crovir-transcript-3743","NP_008879.3","Nonvenom",6126.02677365925,0.555820565556863,0.209831077098189,2.64889535546143,0.00807553322729876,0.0432641280536437,0.0403731793472448,"crovir-transcript-3743","NP_008879.3","Nonvenom"
"DNAJB9_crovir-transcript-8646",5638.71209031242,4.93259536660277,0.198139240539995,24.8945910621229,8.51455148001772e-137,2.24494664322147e-134,3.77048570342524e-134,"crovir-transcript-8646","NP_036460.1","Nonvenom",5638.71209031242,0.567580020320203,0.221485918121217,2.5626009325323,0.0103891385477346,0.0523225419796179,0.0492326043032501,"crovir-transcript-8646","NP_036460.1","Nonvenom"
"SRPRA_crovir-transcript-12733",3433.60621800392,3.20197914342598,0.134958901662617,23.7255868562905,1.96344695485885e-124,4.62216450105432e-122,6.86488378566151e-122,"crovir-transcript-12733","NP_003130.2","Nonvenom",3433.60621800392,0.560456762291053,0.138708470805207,4.04053738778595,5.33288621160905e-05,0.000805080637874958,0.000743155469544675,"crovir-transcript-12733","NP_003130.2","Nonvenom"
"GDF5_crovir-transcript-6421",1435.5294954976,9.36792897539827,0.396139308748294,23.6480671534433,1.23562066790786e-123,2.80848056293608e-121,4.93836691893486e-121,"crovir-transcript-6421","NP_000548.2","Nonvenom",1435.5294954976,1.00252409316969,0.0790808189066568,12.6772093034725,7.90981987901703e-37,5.79614023356859e-34,5.33371253299826e-34,"crovir-transcript-6421","NP_000548.2","Nonvenom"
