"X1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IHW_pvalue","t_ID","Human","type"
"NFKBIE_crovir-transcript-9539",441.687596506593,-3.55802730858388,0.311825430628436,-11.4103179506983,3.71369358981787e-30,1.88398532498837e-27,2.10042960806009e-27,"crovir-transcript-9539","NP_004547.2","Nonvenom"
"CARMIL1_crovir-transcript-5281",194.169200782031,-1.91781635446104,0.180919587033792,-10.6003799030496,2.96772203900198e-26,1.24357558352935e-23,2.14213811825628e-23,"crovir-transcript-5281","XP_016866497.1","Nonvenom"
"YPEL5_crovir-transcript-9527",525.323184976319,-1.81937409418949,0.205441840646821,-8.8559082631917,8.30051263858719e-19,1.85565697801636e-16,1.97461074958912e-16,"crovir-transcript-9527","NP_001120871.1","Nonvenom"
"IP6K2_crovir-transcript-13468",600.108004020351,-1.42876254932515,0.171075136950604,-8.35166684529788,6.73062839541485e-17,1.15294790305873e-14,1.04227024398305e-14,"crovir-transcript-13468","XP_006713262.1","Nonvenom"
"LOC103051547_crovir-transcript-15805",69.1168084061277,-2.19908425663039,0.276103194457188,-7.96471862976356,1.656001502059e-15,2.4821204331998e-13,1.55737661971526e-13,"crovir-transcript-15805","NP_001888.2","Nonvenom"
"IL22RA1_crovir-transcript-992",269.897750953159,-2.97651844174991,0.375324881347109,-7.93051191028596,2.18244376904209e-15,3.16334432018299e-13,3.48843509510668e-13,"crovir-transcript-992","NP_067081.2","Nonvenom"
"LOC103063222_crovir-transcript-8051",79.463765547748,-2.56135497939192,0.345911174673226,-7.40466098503921,1.31485933931099e-13,1.48230723807795e-11,9.99382472692378e-12,"crovir-transcript-8051","NP_078789.2","Nonvenom"
"LOC103063154_crovir-transcript-13678",348.95769019835,-3.30190430148384,0.453506775334335,-7.28082683891461,3.31780326755503e-13,3.52917944347185e-11,3.15473609424792e-11,"crovir-transcript-13678","XP_024309267.1","Nonvenom"
"RHOV_crovir-transcript-7305",106.24750580476,-3.9640524072565,0.560036876876716,-7.07819890247892,1.46040018226842e-12,1.39584626116815e-10,1.05866414965793e-10,"crovir-transcript-7305","NP_598378.3","Nonvenom"
"CCDC69_crovir-transcript-13810",255.15891619033,-5.2619050066995,0.750328143386079,-7.01280506813137,2.33586798590593e-12,2.16972526296474e-10,2.63116466372116e-10,"crovir-transcript-13810","NP_056436.2","Nonvenom"
"DPY19L1_crovir-transcript-2231",141.197988124972,-1.62382161917373,0.243846253445297,-6.65920265835869,2.75317089872295e-11,2.13613671495034e-09,1.85946218558149e-09,"crovir-transcript-2231","XP_011513547.1","Nonvenom"
"C3_crovir-transcript-2488",272.529033901822,-8.54101642145049,1.28354749418916,-6.65422702324391,2.84792793811404e-11,2.18396334323978e-09,2.03045667191018e-09,"crovir-transcript-2488","NP_000055.2","Nonvenom"
"MGEA5_crovir-transcript-10557",507.100007232569,-1.43910363351324,0.219775413607347,-6.54806472613153,5.82874581892528e-11,4.20115613943303e-09,3.83982996152456e-09,"crovir-transcript-10557","NP_036347.1","Nonvenom"
"PIGR_crovir-transcript-6314",1081.41491354809,-13.4933313966687,2.09857198661081,-6.42976818653735,1.27798692637792e-10,8.73401427923562e-09,8.60204663163178e-09,"crovir-transcript-6314","NP_002635.2","Nonvenom"
"TAF4B_crovir-transcript-5152",98.6897321648121,-2.15462431523097,0.338486693705322,-6.3654623809429,1.94702292513946e-10,1.26863176858587e-08,1.10668187589021e-08,"crovir-transcript-5152","NP_001280654.1","Nonvenom"
"LOC103059297_crovir-transcript-10212",294.62620311341,-0.794794243860652,0.125006844147864,-6.35800582982905,2.0438971605031e-10,1.32151978171745e-08,1.445010879304e-08,"crovir-transcript-10212","XP_016871767.1","Nonvenom"
