"Crovir_ID","Crovir_ProtID","HumanID"
"crovir-transcript-1688","crovir-protein-1688","XP_024309291.1"
"crovir-transcript-1686","crovir-protein-1686","XP_006716214.1"
"crovir-transcript-1684","crovir-protein-1684","NP_003405.3"
"crovir-transcript-1685","crovir-protein-1685","XP_011531934.1"
"crovir-transcript-1687","crovir-protein-1687","XP_011531934.1"
"crovir-transcript-1692","crovir-protein-1692",NA
"crovir-transcript-1693","crovir-protein-1693",NA
"crovir-transcript-1694","crovir-protein-1694","XP_006712761.1"
"crovir-transcript-1689","crovir-protein-1689","XP_016861499.1"
"crovir-transcript-1691","crovir-protein-1691","XP_016861499.1"
"crovir-transcript-1697","crovir-protein-1697","XP_011532269.1"
"crovir-transcript-1695","crovir-protein-1695","NP_003951.3"
"crovir-transcript-1696","crovir-protein-1696","NP_001177636.1"
"crovir-transcript-1701","crovir-protein-1701",NA
"crovir-transcript-1700","crovir-protein-1700","NP_000858.3"
"crovir-transcript-1704","crovir-protein-1704","NP_075383.2"
"crovir-transcript-1703","crovir-protein-1703","NP_075383.2"
"crovir-transcript-1699","crovir-protein-1699","NP_444280.2"
"crovir-transcript-1708","crovir-protein-1708","NP_001258016.1"
"crovir-transcript-1709","crovir-protein-1709","NP_077295.1"
"crovir-transcript-1707","crovir-protein-1707","NP_065168.2"
"crovir-transcript-1706","crovir-protein-1706","NP_001010867.1"
"crovir-transcript-1711","crovir-protein-1711","NP_653320.3"
"crovir-transcript-1717","crovir-protein-1717","NP_004615.2"
"crovir-transcript-1718","crovir-protein-1718","NP_001186564.1"
"crovir-transcript-1720","crovir-protein-1720","NP_001316801.1"
"crovir-transcript-1721","crovir-protein-1721","NP_115598.2"
"crovir-transcript-1722","crovir-protein-1722","NP_976226.1"
"crovir-transcript-1723","crovir-protein-1723","NP_001598.1"
"crovir-transcript-1725","crovir-protein-1725","XP_011532619.1"
"crovir-transcript-1724","crovir-protein-1724","NP_001124436.1"
"crovir-transcript-1728","crovir-protein-1728","NP_009058.2"
"crovir-transcript-1729","crovir-protein-1729","XP_016861008.1"
"crovir-transcript-1726","crovir-protein-1726","NP_002038.2"
"crovir-transcript-1727","crovir-protein-1727",NA
"crovir-transcript-1731","crovir-protein-1731","NP_001166038.1"
"crovir-transcript-1732","crovir-protein-1732","XP_011532633.1"
"crovir-transcript-1741","crovir-protein-1741","XP_024308922.1"
"crovir-transcript-1739","crovir-protein-1739","NP_001307488.1"
"crovir-transcript-1743","crovir-protein-1743","NP_079029.3"
"crovir-transcript-1742","crovir-protein-1742","NP_001265140.1"
"crovir-transcript-1740","crovir-protein-1740","XP_006713364.1"
"crovir-transcript-1744","crovir-protein-1744","NP_001333154.1"
"crovir-transcript-1745","crovir-protein-1745","NP_001333154.1"
"crovir-transcript-1752","crovir-protein-1752","NP_001092874.1"
"crovir-transcript-1754","crovir-protein-1754","NP_005098.2"
"crovir-transcript-1753","crovir-protein-1753","XP_005265640.1"
"crovir-transcript-1758","crovir-protein-1758","XP_011532627.1"
"crovir-transcript-1756","crovir-protein-1756","XP_006723222.1"
"crovir-transcript-1759","crovir-protein-1759","NP_004934.1"
"crovir-transcript-1755","crovir-protein-1755","NP_001230280.1"
"crovir-transcript-1761","crovir-protein-1761","NP_005605.1"
"crovir-transcript-1762","crovir-protein-1762","XP_005250059.1"
"crovir-transcript-1760","crovir-protein-1760","NP_071370.2"
"crovir-transcript-1766","crovir-protein-1766","XP_005250082.1"
"crovir-transcript-1770","crovir-protein-1770","XP_005250082.1"
"crovir-transcript-1767","crovir-protein-1767","XP_005250082.1"
"crovir-transcript-1769","crovir-protein-1769",NA
"crovir-transcript-1768","crovir-protein-1768","NP_005422.1"
"crovir-transcript-1771","crovir-protein-1771",NA
"crovir-transcript-1765","crovir-protein-1765","NP_940866.2"
