rattlesnake|crovir-protein-6564	human|NP_000952.1
rattlesnake|crovir-protein-6565	human|NP_003059.1
rattlesnake|crovir-protein-9570	human|NP_001129071.1
rattlesnake|crovir-protein-6567	human|XP_011527038.1
rattlesnake|crovir-protein-9576	human|NP_954974.2
rattlesnake|crovir-protein-9577	human|NP_002700.1
rattlesnake|crovir-protein-9574	human|XP_011530891.1
rattlesnake|crovir-protein-9575	human|NP_001136106.1
rattlesnake|crovir-protein-9578	human|NP_060380.3
rattlesnake|crovir-protein-9579	human|XP_016860395.1
rattlesnake|crovir-protein-6568	human|NP_001129245.1
rattlesnake|crovir-protein-6569	human|XP_016865905.1
rattlesnake|crovir-protein-17385	human|XP_011543672.1
rattlesnake|crovir-protein-17384	human|XP_011543326.1
rattlesnake|crovir-protein-17387	human|XP_016873254.1
rattlesnake|crovir-protein-9571	human|NP_001129071.1
rattlesnake|crovir-protein-17381	human|NP_001341214.1
rattlesnake|crovir-protein-17380	human|XP_011543672.1
rattlesnake|crovir-protein-17383	human|XP_011543672.1
rattlesnake|crovir-protein-17382	human|NP_002187.1
rattlesnake|crovir-protein-6560	human|NP_694957.3
rattlesnake|crovir-protein-17389	human|XP_016872571.1
rattlesnake|crovir-protein-17388	human|XP_011543672.1
rattlesnake|crovir-protein-6561	human|NP_006411.2
rattlesnake|crovir-protein-15599	human|NP_001953.1
rattlesnake|crovir-protein-11575	human|NP_653202.1
rattlesnake|crovir-protein-6563	human|NP_004767.1
rattlesnake|crovir-protein-4706	human|XP_016864328.1
rattlesnake|crovir-protein-4707	human|NP_001335010.1
rattlesnake|crovir-protein-4704	human|NP_072091.1
rattlesnake|crovir-protein-4705	human|NP_689699.2
rattlesnake|crovir-protein-4702	human|NP_003004.1
rattlesnake|crovir-protein-4703	human|NP_001345164.1
rattlesnake|crovir-protein-4700	human|NP_000499.1
rattlesnake|crovir-protein-4701	human|NP_005132.2
rattlesnake|crovir-protein-559	human|NP_071938.1
rattlesnake|crovir-protein-4708	human|NP_001335010.1
rattlesnake|crovir-protein-4709	human|XP_011542898.1
rattlesnake|crovir-protein-6700	human|XP_011526707.1
rattlesnake|crovir-protein-6701	human|NP_891549.1
rattlesnake|crovir-protein-6702	human|NP_005808.3
rattlesnake|crovir-protein-6703	human|XP_024307418.1
rattlesnake|crovir-protein-6704	human|NP_001188267.1
rattlesnake|crovir-protein-6705	human|NP_002058.2
rattlesnake|crovir-protein-6706	human|NP_001188267.1
rattlesnake|crovir-protein-1854	human|NP_004932.1
rattlesnake|crovir-protein-6708	human|NP_005959.2
rattlesnake|crovir-protein-6709	human|XP_011520278.1
rattlesnake|crovir-protein-12409	human|NP_612377.4
rattlesnake|crovir-protein-17161	human|XP_024306372.1
rattlesnake|crovir-protein-12400	human|XP_016873026.1
rattlesnake|crovir-protein-12403	human|NP_001326.2
rattlesnake|crovir-protein-17162	human|NP_001513.2
rattlesnake|crovir-protein-12405	human|NP_004781.2
rattlesnake|crovir-protein-17164	human|NP_004109.1
rattlesnake|crovir-protein-12407	human|XP_006718493.1
rattlesnake|crovir-protein-12406	human|NP_004781.2
rattlesnake|crovir-protein-2901	human|NP_079011.3
rattlesnake|crovir-protein-17386	human|NP_002853.2
rattlesnake|crovir-protein-4351	human|XP_011530195.2
rattlesnake|crovir-protein-14354	human|XP_005257602.2
rattlesnake|crovir-protein-4350	human|NP_005163.1
rattlesnake|crovir-protein-12331	human|XP_016875377.1
rattlesnake|crovir-protein-12330	human|NP_004780.3
rattlesnake|crovir-protein-4355	human|XP_006714129.1
rattlesnake|crovir-protein-4354	human|XP_016872444.1
rattlesnake|crovir-protein-14128	human|NP_114104.1
rattlesnake|crovir-protein-14129	human|NP_006033.1
rattlesnake|crovir-protein-14124	human|NP_001186036.1
rattlesnake|crovir-protein-14125	human|NP_689919.1
rattlesnake|crovir-protein-14126	human|NP_055674.4
rattlesnake|crovir-protein-14127	human|NP_000295.1
rattlesnake|crovir-protein-14120	human|NP_000761.3
rattlesnake|crovir-protein-14121	human|NP_001294.2
rattlesnake|crovir-protein-14122	human|NP_659491.4
rattlesnake|crovir-protein-14123	human|NP_694942.3
rattlesnake|crovir-protein-8221	human|NP_001096.1
rattlesnake|crovir-protein-8220	human|NP_660302.2
rattlesnake|crovir-protein-3280	human|XP_016875890.1
rattlesnake|crovir-protein-8222	human|XP_005246794.1
rattlesnake|crovir-protein-8225	human|NP_000879.2
rattlesnake|crovir-protein-8224	human|NP_000879.2
rattlesnake|crovir-protein-3284	human|XP_011519406.1
rattlesnake|crovir-protein-15836	human|XP_011512416.1
rattlesnake|crovir-protein-8229	human|XP_011510350.1
rattlesnake|crovir-protein-8228	human|NP_689594.4
rattlesnake|crovir-protein-3288	human|NP_659001.2
rattlesnake|crovir-protein-3289	human|XP_024309814.1
rattlesnake|crovir-protein-12339	human|XP_016875753.1
rattlesnake|crovir-protein-5193	human|XP_011523944.1
rattlesnake|crovir-protein-12225	human|NP_065694.2
rattlesnake|crovir-protein-11979	human|NP_006099.2
rattlesnake|crovir-protein-11043	human|XP_005254223.1
rattlesnake|crovir-protein-1946	human|XP_011517854.2
rattlesnake|crovir-protein-3866	human|NP_001035272.1
rattlesnake|crovir-protein-3864	human|NP_000121.2
rattlesnake|crovir-protein-3865	human|NP_037462.1
rattlesnake|crovir-protein-3862	human|NP_620161.1
rattlesnake|crovir-protein-3863	human|NP_008927.1
rattlesnake|crovir-protein-3860	human|NP_955805.1
rattlesnake|crovir-protein-3861	human|NP_071933.2
rattlesnake|crovir-protein-3868	human|XP_016862930.1
rattlesnake|crovir-protein-3869	human|XP_011524003.1
rattlesnake|crovir-protein-12197	human|NP_057137.1
rattlesnake|crovir-protein-1560	human|NP_003854.1
rattlesnake|crovir-protein-11973	human|NP_002099.1
rattlesnake|crovir-protein-16412	human|NP_000681.2
rattlesnake|crovir-protein-16413	human|NP_001317366.1
rattlesnake|crovir-protein-16410	human|XP_011536363.1
rattlesnake|crovir-protein-16411	human|NP_001130010.1
rattlesnake|crovir-protein-16416	human|NP_001137378.1
rattlesnake|crovir-protein-16417	human|NP_079229.2
rattlesnake|crovir-protein-16414	human|NP_001137326.1
rattlesnake|crovir-protein-16415	human|XP_011536021.1
rattlesnake|crovir-protein-156	human|NP_004785.1
rattlesnake|crovir-protein-157	human|XP_006724826.1
rattlesnake|crovir-protein-16418	human|NP_001171467.1
rattlesnake|crovir-protein-16419	human|NP_001103132.3
rattlesnake|crovir-protein-152	human|NP_065162.1
rattlesnake|crovir-protein-153	human|NP_055706.1
rattlesnake|crovir-protein-150	human|NP_056360.2
rattlesnake|crovir-protein-151	human|XP_016867697.1
rattlesnake|crovir-protein-10719	human|XP_016859764.1
rattlesnake|crovir-protein-10718	human|NP_001078906.2
rattlesnake|crovir-protein-10713	human|XP_024308688.1
rattlesnake|crovir-protein-10712	human|XP_016859126.1
rattlesnake|crovir-protein-10711	human|NP_115904.1
rattlesnake|crovir-protein-10710	human|NP_001258906.1
rattlesnake|crovir-protein-10717	human|XP_016858868.1
rattlesnake|crovir-protein-10716	human|XP_011510535.1
rattlesnake|crovir-protein-10715	human|XP_011510535.1
rattlesnake|crovir-protein-10714	human|XP_011509565.1
