"X1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IHW_pvalue","t_ID","Human","type"
"FAM50A_crovir-transcript-14841",1193.50973621758,1.56371004962826,0.125742467361945,12.4358149035455,1.67028662383736e-35,1.15953055623235e-32,1.06007464783577e-32,"crovir-transcript-14841","NP_004690.1","Nonvenom"
"SUCO_crovir-transcript-5568",1444.94780914184,1.17435753634919,0.0965477116244323,12.1634942619604,4.86330306050721e-34,3.20734836840451e-31,2.98336685378238e-31,"crovir-transcript-5568","NP_057311.3","Nonvenom"
"NFKBIE_crovir-transcript-9539",441.687596506593,-3.55802730858388,0.311825430628436,-11.4103179506983,3.71369358981787e-30,1.88398532498837e-27,2.10042960806009e-27,"crovir-transcript-9539","NP_004547.2","Nonvenom"
"C1QL3_crovir-transcript-1904",56.2142682456605,4.65817558782248,0.419754554386063,11.097379502256,1.29175902853884e-28,6.08510770943831e-26,5.29695857090963e-26,"crovir-transcript-1904","NP_001010908.1","Nonvenom"
"CARMIL1_crovir-transcript-5281",194.169200782031,-1.91781635446104,0.180919587033792,-10.6003799030496,2.96772203900198e-26,1.24357558352935e-23,2.14213811825628e-23,"crovir-transcript-5281","XP_016866497.1","Nonvenom"
"ACPP_crovir-transcript-2146",86.7998791681408,7.19332875714473,0.697088092825865,10.3191100682617,5.77559896760443e-25,2.24059265831478e-22,1.38985754748962e-22,"crovir-transcript-2146","NP_001127666.1","Nonvenom"
"LOC103055710_crovir-transcript-14192",858.622097026569,1.23312548328132,0.133237503547189,9.25509297646505,2.14044040209122e-20,6.13748019643113e-18,5.7088762680578e-18,"crovir-transcript-14192","NP_065804.2","Nonvenom"
"YPEL5_crovir-transcript-9527",525.323184976319,-1.81937409418949,0.205441840646821,-8.8559082631917,8.30051263858719e-19,1.85565697801636e-16,1.97461074958912e-16,"crovir-transcript-9527","NP_001120871.1","Nonvenom"
"TBCD_crovir-transcript-14139",266.161702402688,1.06299759411496,0.121675717009849,8.7363166639808,2.40834263907213e-18,4.96344365771272e-16,5.53367580857468e-16,"crovir-transcript-14139","NP_005984.3","Nonvenom"
"LOC103051283_crovir-transcript-6058",516.248536234709,2.05210477640658,0.236439412640253,8.67919926500957,3.98564871629281e-18,7.96525857089427e-16,8.7478157540052e-16,"crovir-transcript-6058","NP_001093242.1","Nonvenom"
"GLRX2_crovir-transcript-5695",619.963935423236,1.57649341728904,0.185573474672415,8.49525192149339,1.97504064999829e-17,3.66912481316584e-15,3.3544145717216e-15,"crovir-transcript-5695","NP_057150.2","Nonvenom"
"LOC103060709_crovir-transcript-15591",611.829560005312,1.31039510357918,0.155770269373633,8.41235692053693,4.01852872335298e-17,7.16275592716566e-15,6.54838798875271e-15,"crovir-transcript-15591","XP_016864962.1","Nonvenom"
"IP6K2_crovir-transcript-13468",600.108004020351,-1.42876254932515,0.171075136950604,-8.35166684529788,6.73062839541485e-17,1.15294790305873e-14,1.04227024398305e-14,"crovir-transcript-13468","XP_006713262.1","Nonvenom"
"DDA1_crovir-transcript-6823",1074.82860509751,0.76611144842657,0.0949575612052504,8.06793517759606,7.14969868828039e-16,1.09656425230719e-13,1.00250912521955e-13,"crovir-transcript-6823","NP_076955.1","Nonvenom"
"LOC103051547_crovir-transcript-15805",69.1168084061277,-2.19908425663039,0.276103194457188,-7.96471862976356,1.656001502059e-15,2.4821204331998e-13,1.55737661971526e-13,"crovir-transcript-15805","NP_001888.2","Nonvenom"
"IL22RA1_crovir-transcript-992",269.897750953159,-2.97651844174991,0.375324881347109,-7.93051191028596,2.18244376904209e-15,3.16334432018299e-13,3.48843509510668e-13,"crovir-transcript-992","NP_067081.2","Nonvenom"
"ATG16L1_crovir-transcript-10632",1126.54883924526,0.71582533023885,0.0912160730790475,7.84757889783875,4.24145582516143e-15,6.01557014342788e-13,5.59547966454084e-13,"crovir-transcript-10632","XP_005246139.1","Nonvenom"
"AP4E1_crovir-transcript-11195",688.844881298947,1.0048761158235,0.128479043707599,7.82132312652058,5.22709778385592e-15,7.33461912436804e-13,6.63052965706156e-13,"crovir-transcript-11195","NP_031373.2","Nonvenom"
"LOX_crovir-transcript-15556",319.282432258649,2.01677567308601,0.2594850659693,7.77222251905863,7.71208139602054e-15,1.04868405787125e-12,9.51690546036425e-13,"crovir-transcript-15556","NP_002308.2","Nonvenom"
"UBAP1_crovir-transcript-4158",617.743473739087,0.957201365004195,0.123875190989289,7.72714340425889,1.09986723092677e-14,1.45072487759241e-12,1.3630456168042e-12,"crovir-transcript-4158","NP_001164672.1","Nonvenom"
"HACD4_crovir-transcript-15362",135.844059312181,2.81479050810726,0.365620942535262,7.69865776448457,1.37502893913782e-14,1.77810114776744e-12,1.56312448725726e-12,"crovir-transcript-15362","NP_001308832.1","Nonvenom"
"TXNL1_crovir-transcript-15891",1197.87554748804,0.783919591588869,0.102251251660523,7.66660142402464,1.76613516665648e-14,2.21860217601895e-12,2.08351159139694e-12,"crovir-transcript-15891","XP_024307057.1","Nonvenom"
"LOC103063222_crovir-transcript-8051",79.463765547748,-2.56135497939192,0.345911174673226,-7.40466098503921,1.31485933931099e-13,1.48230723807795e-11,9.99382472692378e-12,"crovir-transcript-8051","NP_078789.2","Nonvenom"
"RARS2_crovir-transcript-8979",125.20874653937,1.35173854776182,0.183415571012899,7.36981348037652,1.70866926880151e-13,1.89389476096571e-11,1.43807950320717e-11,"crovir-transcript-8979","NP_001337434.1","Nonvenom"
"LOC103063154_crovir-transcript-13678",348.95769019835,-3.30190430148384,0.453506775334335,-7.28082683891461,3.31780326755503e-13,3.52917944347185e-11,3.15473609424792e-11,"crovir-transcript-13678","XP_024309267.1","Nonvenom"
"MVD_crovir-transcript-16332",650.574415731087,1.67076899292765,0.230767871160989,7.24004162504097,4.48547054706857e-13,4.62213722779957e-11,4.22568466839642e-11,"crovir-transcript-16332","XP_011521388.1","Nonvenom"
